2026-05-28 12:40:58,497 - matplotlib - DEBUG - matplotlib data path: /home/kraz/Documents/GitHub/video-detection-bp/.env/lib/python3.12/site-packages/matplotlib/mpl-data
2026-05-28 12:40:58,502 - matplotlib - DEBUG - CONFIGDIR=/home/kraz/.config/matplotlib
2026-05-28 12:40:58,502 - matplotlib - DEBUG - interactive is False
2026-05-28 12:40:58,502 - matplotlib - DEBUG - platform is linux
2026-05-28 12:40:58,520 - matplotlib - DEBUG - CACHEDIR=/home/kraz/.cache/matplotlib
2026-05-28 12:40:58,522 - matplotlib.font_manager - DEBUG - Using fontManager instance from /home/kraz/.cache/matplotlib/fontlist-v390.json
2026-05-28 12:41:01,175 - DatabaseOperations - INFO - Connecting to database at detections.db
2026-05-28 12:41:01,176 - DatabaseOperations - DEBUG - Setting PRAGMA statements for database optimization
2026-05-28 12:41:02,531 - matplotlib - DEBUG - matplotlib data path: /home/kraz/Documents/GitHub/video-detection-bp/.env/lib/python3.12/site-packages/matplotlib/mpl-data
2026-05-28 12:41:02,536 - matplotlib - DEBUG - CONFIGDIR=/home/kraz/.config/matplotlib
2026-05-28 12:41:02,536 - matplotlib - DEBUG - interactive is False
2026-05-28 12:41:02,537 - matplotlib - DEBUG - platform is linux
2026-05-28 12:41:02,552 - matplotlib - DEBUG - CACHEDIR=/home/kraz/.cache/matplotlib
2026-05-28 12:41:02,554 - matplotlib.font_manager - DEBUG - Using fontManager instance from /home/kraz/.cache/matplotlib/fontlist-v390.json
2026-05-28 12:41:34,173 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:34,524 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:34,875 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:35,225 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:35,576 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:35,927 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:36,277 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:36,628 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:36,978 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:37,329 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:37,680 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:38,030 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:38,381 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:38,732 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:39,082 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:39,433 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
2026-05-28 12:41:39,783 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, '/home/kraz/Documents/GitHub/video-detection-bp/database_operations.log')}
